Legend,Shorthand,Location,Province,Province Code
Private-sector health expenditure per capita by use of funds; in current dollars; Canada; 1975 to 2018,A.3.2.3,services_expenditure.csv,,
Public-sector health expenditure by use of funds; in millions of current dollars; Canada; 1975 to 2018,A.3.3.1,services_expenditure.csv,,
Percentage distribution of public-sector health expenditure by use of funds; Canada; 1975 to 2018,A.3.3.2,services_expenditure.csv,,
Public-sector health expenditure per capita by use of funds; in current dollars; Canada; 1975 to 2018,A.3.3.3,services_expenditure.csv,,
Territorial government health expenditure by use of funds in millions of current dollars; Nunavut; 1975 to 2018,D.4.13.1,expenditure_by_type.csv,Nunavut,Nun.
Percentage distribution of territorial government health expenditure by use of funds; Nunavut; 1975 to 2018,D.4.13.2,expenditure_by_type.csv,Nunavut,Nun.
Territorial government per capita health expenditure by use of funds in current dollars; Nunavut; 1975 to 2018,D.4.13.3,expenditure_by_type.csv,Nunavut,Nun.
Provincial government health expenditure by use of funds in millions of current dollars; Saskatchewan; 1975 to 2018,D.4.8.1,expenditure_by_type.csv,Saskatchewan,Sask.
Percentage distribution of provincial government health expenditure by use of funds; Saskatchewan; 1975 to 2018,D.4.8.2,expenditure_by_type.csv,Saskatchewan,Sask.
Provincial government per capita health expenditure by use of funds in current dollars; Saskatchewan; 1975 to 2018,D.4.8.3,expenditure_by_type.csv,Saskatchewan,Sask.
Provincial government health expenditure by use of funds in millions of current dollars; British Columbia; 1975 to 2018,D.4.10.1,expenditure_by_type.csv,British Columbia,B.C.
Percentage distribution of provincial government health expenditure by use of funds; British Columbia; 1975 to 2018,D.4.10.2,expenditure_by_type.csv,British Columbia,B.C.
Provincial government per capita health expenditure by use of funds in current dollars; British Columbia; 1975 to 2018,D.4.10.3,expenditure_by_type.csv,British Columbia,B.C.
Provincial government health expenditure by use of funds in millions of current dollars; Manitoba; 1975 to 2018,D.4.7.1,expenditure_by_type.csv,Manitoba,Man.
Percentage distribution of provincial government health expenditure by use of funds; Manitoba; 1975 to 2018,D.4.7.2,expenditure_by_type.csv,Manitoba,Man.
Provincial government per capita health expenditure by use of funds in current dollars; Manitoba; 1975 to 2018,D.4.7.3,expenditure_by_type.csv,Manitoba,Man.
Provincial government health expenditure by use of funds in millions of current dollars; New Brunswick; 1975 to 2018,D.4.4.1,expenditure_by_type.csv,New Brunswick,N.B.
Percentage distribution of provincial government health expenditure by use of funds; New Brunswick; 1975 to 2018,D.4.4.2,expenditure_by_type.csv,New Brunswick,N.B.
Provincial government per capita health expenditure by use of funds in current dollars; New Brunswick; 1975 to 2018,D.4.4.3,expenditure_by_type.csv,New Brunswick,N.B.
Provincial government health expenditure by use of funds in millions of current dollars; Alberta; 1975 to 2018,D.4.9.1,expenditure_by_type.csv,Alberta,Alta.
Percentage distribution of provincial government health expenditure by use of funds; Alberta; 1975 to 2018,D.4.9.2,expenditure_by_type.csv,Alberta,Alta.
Provincial government per capita health expenditure by use of funds in current dollars; Alberta; 1975 to 2018,D.4.9.3,expenditure_by_type.csv,Alberta,Alta.
Territorial government health expenditure by use of funds in millions of current dollars; Northwest Territories; 1975 to 2018,D.4.12.1,expenditure_by_type.csv,Northwest Territories,N.W.T.
Percentage distribution of territorial government health expenditure by use of funds; Northwest Territories; 1975 to 2018,D.4.12.2,expenditure_by_type.csv,Northwest Territories,N.W.T.
Territorial government per capita health expenditure by use of funds in current dollars; Northwest Territories; 1975 to 2018,D.4.12.3,expenditure_by_type.csv,Northwest Territories,N.W.T.
Provincial government health expenditure by use of funds in millions of current dollars; Ontario; 1975 to 2018,D.4.6.1,expenditure_by_type.csv,Ontario,Ont.
Percentage distribution of provincial government health expenditure by use of funds; Ontario; 1975 to 2018,D.4.6.2,expenditure_by_type.csv,Ontario,Ont.
Provincial government per capita health expenditure by use of funds in current dollars; Ontario; 1975 to 2018,D.4.6.3,expenditure_by_type.csv,Ontario,Ont.
Territorial government health expenditure by use of funds in millions of current dollars; Yukon; 1975 to 2018,D.4.11.1,expenditure_by_type.csv,Yukon,Y.T.
Percentage distribution of territorial government health expenditure by use of funds; Yukon; 1975 to 2018,D.4.11.2,expenditure_by_type.csv,Yukon,Y.T.
Territorial government per capita health expenditure by use of funds in current dollars; Yukon; 1975 to 2018,D.4.11.3,expenditure_by_type.csv,Yukon,Y.T.
Provincial government health expenditure by use of funds in millions of current dollars; Prince Edward Island; 1975 to 2018,D.4.2.1,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Percentage distribution of provincial government health expenditure by use of funds; Prince Edward Island; 1975 to 2018,D.4.2.2,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Provincial government per capita health expenditure by use of funds in current dollars; Prince Edward Island; 1975 to 2018,D.4.2.3,expenditure_by_type.csv,Prince Edward Island,P.E.I.
Provincial government health expenditure by use of funds in millions of current dollars; Quebec; 1975 to 2018,D.4.5.1,expenditure_by_type.csv,Quebec,Que.
Percentage distribution of provincial government health expenditure by use of funds; Quebec; 1975 to 2018,D.4.5.2,expenditure_by_type.csv,Quebec,Que.
Provincial government per capita health expenditure by use of funds in current dollars; Quebec; 1975 to 2018,D.4.5.3,expenditure_by_type.csv,Quebec,Que.
Provincial government health expenditure by use of funds in millions of current dollars; Nova Scotia; 1975 to 2018,D.4.3.1,expenditure_by_type.csv,Nova Scotia,N.S.
Percentage distribution of provincial government health expenditure by use of funds; Nova Scotia; 1975 to 2018,D.4.3.2,expenditure_by_type.csv,Nova Scotia,N.S.
Provincial government per capita health expenditure by use of funds in current dollars; Nova Scotia; 1975 to 2018,D.4.3.3,expenditure_by_type.csv,Nova Scotia,N.S.
Provincial government health expenditure by use of funds in millions of current dollars; Newfoundland and Labrador; 1975 to 2018,D.4.1.1,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Percentage distribution of provincial government health expenditure by use of funds; Newfoundland and Labrador; 1975 to 2018,D.4.1.2,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Provincial government per capita health expenditure by use of funds in current dollars; Newfoundland and Labrador; 1975 to 2018,D.4.1.3,expenditure_by_type.csv,Newfoundland and Labrador,N.L.
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 1999,E.1.2.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 1999,E.1.2.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 1998,E.1.1.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 1998,E.1.1.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2001,E.1.4.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2001,E.1.4.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2015,E.1.18.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2015,E.1.18.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2014,E.1.17.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2014,E.1.17.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2000,E.1.3.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2000,E.1.3.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2016,E.1.19.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2016,E.1.19.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2002,E.1.5.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2002,E.1.5.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2003,E.1.6.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2003,E.1.6.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2013,E.1.16.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2013,E.1.16.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2007,E.1.10.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2007,E.1.10.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2006,E.1.9.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2006,E.1.9.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2012,E.1.15.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2012,E.1.15.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2004,E.1.7.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2004,E.1.7.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2010,E.1.13.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2010,E.1.13.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2011,E.1.14.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2011,E.1.14.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2005,E.1.8.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2005,E.1.8.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2008,E.1.11.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2008,E.1.11.2,provincial_level.csv,,
Estimate of total provincial/territorial government health expenditures by age and sex in millions of current dollars; by province/territory and Canada; 2009,E.1.12.1,provincial_level.csv,,
Estimate of total per capita provincial/territorial government health expenditures by age and sex in current dollars; by province/territory and Canada; 2009,E.1.12.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2009,E.3.14.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2009,E.3.14.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2008,E.3.13.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2008,E.3.13.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1997,E.3.2.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1997,E.3.2.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1996,E.3.1.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1996,E.3.1.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1998,E.3.3.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1998,E.3.3.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1999,E.3.4.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1999,E.3.4.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2003,E.3.8.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2003,E.3.8.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2016,E.3.21.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2016,E.3.21.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2002,E.3.7.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2002,E.3.7.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2014,E.3.19.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2014,E.3.19.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2000,E.3.5.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2000,E.3.5.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2001,E.3.6.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2001,E.3.6.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2015,E.3.20.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2015,E.3.20.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2011,E.3.16.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2011,E.3.16.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2005,E.3.10.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2005,E.3.10.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2004,E.3.9.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2004,E.3.9.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2010,E.3.15.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2010,E.3.15.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2006,E.3.11.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2006,E.3.11.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2012,E.3.17.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2012,E.3.17.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2013,E.3.18.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2013,E.3.18.2,provincial_level.csv,,
Provincial/territorial government other institutions expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2007,E.3.12.1,provincial_level.csv,,
Provincial/territorial government other institutions expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2007,E.3.12.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1996,E.2.1.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1996,E.2.1.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1997,E.2.2.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1997,E.2.2.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2008,E.2.13.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2008,E.2.13.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2009,E.2.14.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2009,E.2.14.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2002,E.2.7.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2002,E.2.7.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2016,E.2.21.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2016,E.2.21.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2003,E.2.8.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2003,E.2.8.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2015,E.2.20.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2015,E.2.20.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2001,E.2.6.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2001,E.2.6.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2000,E.2.5.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2000,E.2.5.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2014,E.2.19.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2014,E.2.19.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2010,E.2.15.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2010,E.2.15.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2004,E.2.9.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2004,E.2.9.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2005,E.2.10.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2005,E.2.10.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2011,E.2.16.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2011,E.2.16.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2007,E.2.12.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2007,E.2.12.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2013,E.2.18.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2013,E.2.18.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2012,E.2.17.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2012,E.2.17.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2006,E.2.11.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2006,E.2.11.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1999,E.2.4.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1999,E.2.4.2,provincial_level.csv,,
Provincial/territorial government hospital expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1998,E.2.3.1,provincial_level.csv,,
Provincial/territorial government hospital expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1998,E.2.3.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1997,E.6.2.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1997,E.6.2.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1996,E.6.1.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1996,E.6.1.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2009,E.6.14.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2009,E.6.14.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2008,E.6.13.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2008,E.6.13.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2012,E.6.17.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2012,E.6.17.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2006,E.6.11.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2006,E.6.11.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2007,E.6.12.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2007,E.6.12.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2013,E.6.18.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2013,E.6.18.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2005,E.6.10.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2005,E.6.10.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2011,E.6.16.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2011,E.6.16.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2010,E.6.15.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2010,E.6.15.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2004,E.6.9.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2004,E.6.9.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2000,E.6.5.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2000,E.6.5.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2014,E.6.19.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2014,E.6.19.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2015,E.6.20.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2015,E.6.20.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2001,E.6.6.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2001,E.6.6.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2003,E.6.8.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2003,E.6.8.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2002,E.6.7.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2002,E.6.7.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 2016,E.6.21.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 2016,E.6.21.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1998,E.6.3.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1998,E.6.3.2,provincial_level.csv,,
Provincial/territorial government drugs expenditure by age and sex in millions of current dollars; by province/territory and Canada; 1999,E.6.4.1,provincial_level.csv,,
Provincial/territorial government drugs expenditure per capita by age and sex in current dollars; by province/territory and Canada; 1999,E.6.4.2,provincial_level.csv,,
Private-sector health expenditure by use of funds in millions of current dollars; Quebec; 1975 to 2018,D.2.5.1,expenditure_by_type.csv,Quebec,Que.
Percentage distribution of Private-sector health expenditure by use of funds; Quebec; 1975 to 2018,D.2.5.2,expenditure_by_type.csv,Quebec,Que.
Private-sector per capita health expenditure by use of funds in current dollars; Quebec; 1975 to 2018,D.2.5.3,expenditure_by_type.csv,Quebec,Que.
Private-sector health expenditure by use of funds in millions of current dollars; Nova Scotia; 1975 to 2018,D.2.3.1,expenditure_by_type.csv,Nova Scotia,N.S.
Percentage distribution of Private-sector health expenditure by use of funds; Nova Scotia; 1975 to 2018,D.2.3.2,expenditure_by_type.csv,Nova Scotia,N.S.
Private-sector per capita health expenditure by use of funds in current dollars; Nova Scotia; 1975 to 2018,D.2.3.3,expenditure_by_type.csv,Nova Scotia,N.S.
